id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type.1,room_type,first_review,last_review,instant_bookable,has_availability
14218,32015,38.92668,-77.07686,100,100,6,2,1.5,1,64,31,365,0,13,19,287,106,2,0,4.62,4.74,4.62,4.9,4.88,4.89,4.67,4,1,3,0.62,124,7936,1,4,0,31,1125,Private room in home,"Reddick, FL",within an hour,t,t,"Cathedral Heights, McLean Gardens, Glover Park",Private room in home,Private room,05/01/2011,28/02/2025,f,t
17131,32015,38.92644,-77.07646,100,100,6,2,1.5,1,64,31,1125,0,16,46,321,109,1,0,4.66,4.57,4.74,4.78,4.85,4.77,4.65,4,1,3,0.59,62,3968,1,4,0,31,1125,Private room in home,"Reddick, FL",within an hour,t,t,"Cathedral Heights, McLean Gardens, Glover Park",Private room in home,Private room,03/10/2019,13/01/2025,f,t
27682,36646,38.9665,-77.00645,100,86,2,1,1,1,70,90,360,0,0,12,287,12,1,0,5,4.67,4.83,5,5,4.33,4.5,2,1,1,0.07,180,12600,1,2,0,90,360,Entire home,"Washington, DC",within a few hours,t,t,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Entire home,Entire home/apt,05/12/2010,03/05/2025,f,t
32087,138459,38.91766,-77.04598,100,98,18,2,1,1,229,1,30,30,60,87,330,16,1,0,4.87,4.86,4.93,5,5,4.86,4.71,11,0,11,0.1,6,1374,1,16,0,1,1125,Private room in bed and breakfast,"Washington, DC",within an hour,t,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Private room in bed and breakfast,Private room,03/10/2019,25/09/2024,t,t
52092,50148,38.9077,-77.02431,90,89,7,4,1,1,119,31,183,0,0,18,273,197,1,0,4.35,4.44,4.49,4.7,4.55,4.57,4.46,2,2,0,1.1,62,12338,2,5,0,31,183,Entire rental unit,"Berkeley, CA",within a few hours,f,t,"Shaw, Logan Circle",Entire rental unit,Entire home/apt,03/10/2019,30/11/2024,f,t
62122,301975,38.92238,-77.04709,100,96,1,3,1,2,84,5,150,7,11,16,140,167,29,3,4.86,4.85,4.66,4.89,4.91,4.95,4.87,1,1,0,1.07,255,21420,2,1,0,4.9,150,Entire townhouse,"Washington D.C., DC",within a few hours,t,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire townhouse,Entire home/apt,03/10/2019,01/06/2025,f,t
67483,332901,38.934628,-77.029839,100,100,1,3,1,2,76,31,365,0,0,8,213,165,3,1,4.52,4.7,4.48,4.72,4.76,4.62,4.54,1,1,0,0.94,186,14136,1,1,0,31,365,Entire guest suite,"Washington, DC",within a few hours,t,f,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire guest suite,Entire home/apt,02/06/2011,01/06/2025,f,t
93551,481929,38.91433,-77.01876,100,67,5,2,1.5,1,79,31,365,27,57,87,362,104,1,0,4.75,4.77,4.46,4.92,4.94,4.53,4.56,4,0,4,0.6,62,4898,1,4,0,31,365,Private room in townhouse,"Washington, DC",within a day,t,t,"Howard University, Le Droit Park, Cardozo/Shaw",Private room in townhouse,Private room,03/10/2019,14/12/2024,f,t
116951,481929,38.91436,-77.0181,100,67,5,2,1.5,2,71,31,1125,0,20,50,325,87,2,0,4.69,4.73,4.43,4.87,4.85,4.56,4.5,4,0,4,0.51,124,8804,1,4,0,31,1125,Private room in townhouse,"Washington, DC",within a day,t,t,"Howard University, Le Droit Park, Cardozo/Shaw",Private room in townhouse,Private room,06/04/2011,01/11/2024,f,t
150109,723470,38.91525,-77.04001,100,0,1,2,1,1,119,31,365,14,38,38,70,30,0,0,4.83,4.9,4.69,5,4.97,4.97,4.76,1,1,0,0.18,0,12338,1,1,0,31,365,Entire rental unit,"Washington, DC",within an hour,f,t,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,11/04/2011,01/03/2022,f,t
153545,738459,38.94286,-77.04417,100,99,6,1,2,1,67,30,1120,0,0,0,0,41,1,0,4.67,4.76,4.54,4.92,4.83,4.62,4.65,4,3,1,0.24,60,4020,1,5,0,30,1120,Private room in home,"Washington D.C., DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Private room in home,Private room,03/10/2019,13/12/2024,f,t
155859,745305,38.96628,-77.0309,100,0,2,1,1,1,119,31,62,0,0,26,86,129,0,0,4.87,4.84,4.81,4.92,4.96,4.71,4.87,2,1,1,0.76,0,12338,1,2,0,31,1125,Private room in home,"Washington D.C., DC",within an hour,f,t,"Takoma, Brightwood, Manor Park",Private room in home,Private room,03/10/2019,28/10/2019,f,t
