range,count
"[1.00, 1.50)",160
"[1.50, 2.00)",0
"[2.00, 2.50)",522
"[2.50, 3.00)",0
"[3.00, 3.50)",253
"[3.50, 4.00)",0
"[4.00, 4.50)",320
"[4.50, 5.00)",0
"[5.00, 5.50)",92
"[5.50, 6.00)",0
"[6.00, 6.50)",120
"[6.50, 7.00)",29
