range,count
"[4.41, 4.46)",27
"[4.46, 4.51)",41
"[4.51, 4.56)",26
"[4.56, 4.61)",54
"[4.61, 4.66)",78
"[4.66, 4.71)",109
"[4.71, 4.75)",149
"[4.75, 4.80)",269
"[4.80, 4.85)",222
"[4.85, 4.90)",241
"[4.90, 4.95)",149
"[4.95, 5.00)",89
