range,count
"[0.00, 46.17)",473
"[46.17, 92.33)",215
"[92.33, 138.50)",219
"[138.50, 184.67)",122
"[184.67, 230.83)",112
"[230.83, 277.00)",99
"[277.00, 323.17)",68
"[323.17, 369.33)",68
"[369.33, 415.50)",49
"[415.50, 461.67)",25
"[461.67, 507.83)",21
"[507.83, 554.00)",25
