range,count
"[0.00, 8.33)",16
"[8.33, 16.67)",0
"[16.67, 25.00)",4
"[25.00, 33.33)",0
"[33.33, 41.67)",2
"[41.67, 50.00)",5
"[50.00, 58.33)",6
"[58.33, 66.67)",2
"[66.67, 75.00)",11
"[75.00, 83.33)",21
"[83.33, 91.67)",83
"[91.67, 100.00)",1211
